total_sales,onsale_web,price,stock_quantity,stock_status
0.0,1,17.7,5,instock
0.0,1,57.0,8,instock
0.0,1,36.0,9,instock
1.0,1,36.0,2,instock
0.0,1,93.0,3,instock
0.0,1,122.0,4,instock
0.0,1,114.0,8,instock
17.0,1,48.5,0,outofstock
2.0,1,49.5,12,instock
1.0,1,14.1,66,instock
0.0,1,59.9,3,instock
5.0,1,46.0,0,outofstock
0.0,1,74.5,6,instock
0.0,1,17.2,12,instock
0.0,1,8.7,44,instock
0.0,1,15.4,32,instock
0.0,1,12.7,27,instock
0.0,1,30.0,22,instock
0.0,1,13.5,28,instock
3.0,1,16.3,11,instock
0.0,1,56.3,9,instock
0.0,1,71.5,18,instock
0.0,1,69.0,0,outofstock
1.0,1,17.9,21,instock
0.0,1,48.5,11,instock
0.0,1,71.7,4,instock
18.0,1,8.5,0,outofstock
38.0,1,10.9,46,instock
3.0,1,21.8,6,instock
0.0,1,38.5,0,outofstock
1.0,1,9.3,124,instock
9.0,1,13.6,41,instock
0.0,1,24.5,19,instock
1.0,1,12.6,0,outofstock
0.0,1,13.4,2,instock
0.0,1,29.8,3,instock
0.0,1,36.9,16,instock
0.0,1,40.7,0,outofstock
0.0,1,33.2,0,outofstock
7.0,1,34.8,1,instock
0.0,1,74.8,15,instock
0.0,1,62.4,4,instock
0.0,1,46.0,0,outofstock
1.0,1,39.2,0,outofstock
2.0,1,135.0,10,instock
0.0,1,10.6,66,instock
3.0,1,10.6,50,instock
0.0,1,5.2,30,instock
2.0,1,46.0,0,outofstock
0.0,1,105.6,7,instock
0.0,1,116.4,14,instock
7.0,1,31.0,7,instock
0.0,1,20.2,109,instock
41.0,1,25.2,120,instock
37.0,1,25.2,363,instock
2.0,1,115.0,2,instock
0.0,1,121.0,7,instock
0.0,1,99.0,7,instock
0.0,1,115.0,4,instock
0.0,1,121.0,6,instock
0.0,1,23.5,3,instock
0.0,1,26.4,10,instock
6.0,1,26.7,1,instock
4.0,1,20.4,0,outofstock
0.0,1,20.4,0,outofstock
1.0,1,40.2,15,instock
5.0,1,9.0,69,instock
0.0,1,45.9,10,instock
0.0,1,10.4,0,outofstock
0.0,1,78.0,10,instock
0.0,1,40.5,20,instock
0.0,1,27.9,7,instock
0.0,1,22.4,7,instock
0.0,1,28.4,9,instock
0.0,1,72.0,19,instock
3.0,1,29.0,6,instock
0.0,1,29.2,0,outofstock
0.0,1,44.0,0,outofstock
1.0,1,68.3,12,instock
0.0,1,41.8,1,instock
7.0,1,40.0,0,outofstock
0.0,1,13.5,29,instock
0.0,1,19.0,38,instock
0.0,1,24.4,70,instock
0.0,1,32.8,8,instock
1.0,1,15.4,8,instock
6.0,1,9.9,12,instock
0.0,1,13.5,2,instock
